Index;Name;Author;User Rating;Reviews;Price;Year;Genre 1;Genre 2;Genre 3;Number
1;10-Day Green Smoothie Cleanse;JJ Smith;4,7;17 350;8;01/01/2016;Non Fiction;Health, Fitness & Dieting;Diets & Weight Loss;1
2;11/22/63: A Novel;Stephen King;4,6;2 052;22;01/01/2011;Fiction;Literature & Fiction;Genre Fiction;1
3;12 Rules for Life: An Antidote to Chaos;Jordan B. Peterson;4,7;18 979;15;01/01/2018;Non Fiction;Health, Fitness & Dieting;Psychology & Counseling;1
4;1984 (Signet Classics);George Orwell;4,7;21 424;6;01/01/2017;Fiction;Literature & Fiction;Genre Fiction;1
5;5,000 Awesome Facts (About Everything!) (National Geographic Kids);National Geographic Kids;4,8;7 665;12;01/01/2019;Non Fiction;Children's Books;Education & Reference;1
6;A Dance with Dragons (A Song of Ice and Fire);George R.R. Martin;4,4;12 643;11;01/01/2011;Fiction;Literature & Fiction;Action & Adventure;1
7;A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons;George R.R. Martin;4,7;19 735;30;01/01/2014;Fiction;Literature & Fiction;Genre Fiction;1
8;A Gentleman in Moscow: A Novel;Amor Towles;4,7;19 699;15;01/01/2017;Fiction;Literature & Fiction;Genre Fiction;1
9;A Higher Loyalty: Truth, Lies, and Leadership;James Comey;4,7;5 983;3;01/01/2018;Non Fiction;History;Americas;1
10;A Man Called Ove: A Novel;Fredrik Backman;4,6;23 848;8;01/01/2016;Fiction;Literature & Fiction;Genre Fiction;1
11;A Man Called Ove: A Novel;Fredrik Backman;4,6;23 848;8;01/01/2017;Fiction;Literature & Fiction;Genre Fiction;1
12;A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror;Larry Schweikart;4,6;460,00;2;01/01/2010;Non Fiction;Politics & Social Sciences;History;1
13;A Stolen Life: A Memoir;Jaycee Dugard;4,6;4 149;32;01/01/2011;Non Fiction;Biographies & Memoirs;Autobiography;1
14;A Wrinkle in Time (Time Quintet);Madeleine L'Engle;4,5;5 153;5;01/01/2018;Fiction;Science Fiction & Fantasy;9k6;1
15;Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment;Steve Harvey;4,6;5 013;17;01/01/2009;Non Fiction;Self-Help;Psychology;1
16;Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns;Adult Coloring Book Designs;4,5;2 313;4;01/01/2016;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
17;Adult Coloring Book: Stress Relieving Animal Designs;Blue Star Coloring;4,6;2 925;6;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
18;Adult Coloring Book: Stress Relieving Patterns;Blue Star Coloring;4,4;2 951;6;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
19;Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…;Coloring Books for Adults;4,5;2 426;8;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
20;Alexander Hamilton;Ron Chernow;4,8;9 198;13;01/01/2016;Non Fiction;Biographies & Memoirs;Autobiography;1
21;All the Light We Cannot See;Anthony Doerr;4,6;36 348;14;01/01/2014;Fiction;Literature & Fiction;Genre Fiction;1
22;All the Light We Cannot See;Anthony Doerr;4,6;36 348;14;01/01/2015;Fiction;Literature & Fiction;Genre Fiction;1
23;Allegiant;Veronica Roth;3,9;6 310;13;01/01/2013;Fiction;Teen & Young Adult;Literature & Fiction;1
24;American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History;Chris Kyle;4,6;15 921;9;01/01/2015;Non Fiction;Biographies & Memoirs;Autobiography;1
25;And the Mountains Echoed;Khaled Hosseini;4,3;12 159;13;01/01/2013;Fiction;Literature & Fiction;Genre Fiction;1
26;Arguing with Idiots: How to Stop Small Minds and Big Government;Glenn Beck;4,6;798,00;5;01/01/2009;Non Fiction;Politics & Social Sciences;Politics & Government;1
27;Astrophysics for People in a Hurry;Neil deGrasse Tyson;4,7;9 374;9;01/01/2017;Non Fiction;History;Americas;1
28;Autobiography of Mark Twain, Vol. 1;Mark Twain;4,2;491,00;14;01/01/2010;Non Fiction;Literature & Fiction;History & Criticism;1
29;Baby Touch and Feel: Animals;DK;4,6;5 360;5;01/01/2015;Non Fiction;Children's Books;Early Learning;1
30;Balance (Angie's Extreme Stress Menders);Angie Grace;4,6;1 909;11;01/01/2015;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
31;Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook;Ina Garten;4,8;1 296;24;01/01/2012;Non Fiction;Cookbooks, Food & Wine;Regional & International;1
32;Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips;Ina Garten;4,7;615,00;21;01/01/2010;Non Fiction;Cookbooks, Food & Wine;Regional & International;1
33;Becoming;Michelle Obama;4,8;61 133;11;01/01/2018;Non Fiction;History;Americas;1
34;Becoming;Michelle Obama;4,8;61 133;11;01/01/2019;Non Fiction;History;Americas;1
35;Being Mortal: Medicine and What Matters in the End;Atul Gawande;4,8;11 113;15;01/01/2015;Non Fiction;Medical Books;Administration & Medicine Economics;1
36;Between the World and Me;Ta-Nehisi Coates;4,7;10 070;13;01/01/2015;Non Fiction;Biographies & Memoirs;Cultural & Regional;1
37;Between the World and Me;Ta-Nehisi Coates;4,7;10 070;13;01/01/2016;Non Fiction;Biographies & Memoirs;Cultural & Regional;1
38;Born to Run;Bruce Springsteen;4,7;3 729;18;01/01/2016;Non Fiction;Politics & Social Sciences;Social Sciences;1
39;Breaking Dawn (The Twilight Saga, Book 4);Stephenie Meyer;4,6;9 769;13;01/01/2009;Fiction;Teen & Young Adult;Science Fiction & Fantasy;1
40;Broke: The Plan to Restore Our Trust, Truth and Treasure;Glenn Beck;4,5;471,00;8;01/01/2010;Non Fiction;Politics & Social Sciences;Politics & Government;1
41;Brown Bear, Brown Bear, What Do You See?;Bill Martin Jr.;4,9;14 344;5;01/01/2017;Fiction;Children's Books;Early Learning;1
42;Brown Bear, Brown Bear, What Do You See?;Bill Martin Jr.;4,9;14 344;5;01/01/2019;Fiction;Children's Books;Early Learning;1
43;Cabin Fever (Diary of a Wimpy Kid, Book 6);Jeff Kinney;4,8;4 505;0;01/01/2011;Fiction;Children's Books;Growing Up & Facts of Life;1
44;Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series);Sasha O'Hara;4,6;10 369;4;01/01/2016;Non Fiction;Crafts, Hobbies & Home;Crafts & Hobbies;1
45;Can't Hurt Me: Master Your Mind and Defy the Odds;David Goggins;4,8;16 244;18;01/01/2019;Non Fiction;Self-Help;Motivational;1
46;Capital in the Twenty First Century;Thomas Piketty;4,5;2 884;28;01/01/2014;Non Fiction;Politics & Social Sciences;Politics & Government;1
47;Catching Fire (The Hunger Games);Suzanne Collins;4,7;22 614;11;01/01/2010;Fiction;Teen & Young Adult;Literature & Fiction;1
